|   SpT |  Teff |  logT |   Msun | logL |           lycfrac |            lyclum |    B-V |  Bt-Vt |    U-B |   V-Rc |   V-Ic |   V-Ks |    J-H |    H-K | Ks-W1 | logAge |    b-y |  #SpT |   M_J |  M_Ks |  Mbol |  i-z |  z-Y | W1-W2 |   BCv |    Mv |
|   G9V |  5340 | 3.728 |   -0.9 | 0.25 |               0.0 |               0.0 |  0.777 |  0.894 |  0.358 |  0.423 |  0.820 |  1.861 |  0.365 |  0.087 | 0.029 |    ... |    ... |   G9V |  4.14 |  3.69 |  5.34 |  ... |  ... |   ... | -0.21 |  5.55 |
|   K0V |  5280 | 3.723 |  -0.87 | 0.33 |               0.0 |               0.0 |  0.816 |  0.944 |  0.436 |  0.443 |  0.853 |  1.953 |  0.387 |  0.091 | 0.030 |    ... |    ... |   K0V |  4.29 |  3.81 |  5.54 |  ... |  ... |   ... | -0.22 |  5.76 |
|   K1V |  5170 | 3.713 |  -0.85 | 0.37 |               0.0 |               0.0 |  0.847 |  0.982 |  0.502 |  0.460 |  0.883 |  2.034 |  0.405 |  0.094 | 0.030 |    ... |    ... |   K1V |  4.47 |  3.97 |  5.65 |  ... |  ... |   ... | -0.26 |  5.91 |
|   K2V |  5040 | 3.706 |  -0.82 | 0.47 |               0.0 |               0.0 |  0.893 |  1.047 |  0.600 |  0.487 |  0.929 |  2.155 |  0.432 |  0.099 | 0.031 |    ... |    ... |   K2V |  4.57 |  4.04 |  5.88 |  ... |  ... |   ... | -0.29 |  6.19 |
|   K3V |  4840 | 3.685 |  -0.78 | 0.58 |               0.0 |               0.0 |  0.990 |  1.166 |  0.801 |  0.544 |  1.025 |  2.410 |  0.490 |  0.110 | 0.034 |    ... |    ... |   K3V |  4.76 |  4.16 |  6.16 |  ... |  ... |   ... | -0.41 |  6.57 |
|   K4V |  4620 | 3.665 |  -0.73 | 0.71 |               0.0 |               0.0 |  1.100 |  1.306 |  1.004 |  0.640 |  1.190 |  2.733 |  0.544 |  0.125 | 0.039 |    ... |    ... |   K4V |  4.98 |  4.31 |  6.48 |  ... |  ... |   ... | -0.55 |  7.04 |
|   K5V |  4450 | 3.648 |  -0.72 | 0.75 |               0.0 |               0.0 |  1.134 |  1.352 |  1.056 |  0.671 |  1.246 |  2.835 |  0.560 |  0.130 | 0.041 |    ... |    ... |   K5V |  5.11 |  4.42 |  6.58 |  ... |  ... |   ... | -0.67 |  7.25 |
|   K6V |  4200 | 3.623 |   -0.7 | 0.92 |               0.0 |               0.0 |  1.257 |  1.454 |  1.199 |  0.771 |  1.448 |  3.190 |  0.605 |  0.151 | 0.051 |    ... |    ... |   K6V |  5.45 |  4.69 |  7.07 |  ... |  ... |   ... | -0.86 |  7.88 |
|   K7V |  4050 | 3.607 |  -0.64 | 1.04 |               0.0 |               0.0 |  1.340 |  1.543 |  1.222 |  0.826 |  1.580 |  3.418 |  0.624 |  0.169 | 0.062 |    ... |    ... |   K7V |  5.68 |  4.88 |  7.33 |  ... |  ... |   ... | -0.97 |   8.3 |
|   K8V |  3970 | 3.599 |  -0.63 | 1.08 |               0.0 |               0.0 |  1.380 |  1.592 |  1.213 |  0.857 |  1.664 |  3.544 |  0.631 |  0.180 | 0.069 |    ... |    ... |   K8V |  5.86 |  5.04 |   7.5 |  ... |  ... |   ... | -1.08 |  8.58 |
|   K9V |  3880 | 3.589 |  -0.61 | 1.22 |               0.0 |               0.0 |  1.420 |  1.634 |  1.197 |  0.902 |  1.808 |  3.737 |  0.624 |  0.198 | 0.082 |    ... |    ... |   K9V |  6.05 |  5.26 |  7.78 |  ... |  ... |   ... | -1.22 |   9.0 |
|   M0V |  3850 | 3.585 |   -0.6 | 1.26 |               0.0 |               0.0 |  1.431 |  1.650 |  1.190 |  0.913 |  1.848 |  3.790 |  0.622 |  0.203 | 0.086 |    ... |    ... |   M0V |  6.14 |  5.37 |   7.9 |  ... |  ... |   ... |  -1.3 |  9.16 |
|   M1V |  3700 | 3.568 |  -0.53 | 1.42 |               0.0 |               0.0 |  1.480 |    ... |  1.171 |  0.968 |  2.051 |  4.065 |  0.610 |  0.225 | 0.103 |    ... |    ... |   M1V |  6.57 |  5.74 |  8.27 |  ... |  ... |   ... | -1.53 |   9.8 |
| M1.5V |  3650 | 3.562 |   -0.5 | 1.47 |               0.0 |               0.0 |  1.486 |    ... |  1.170 |  0.978 |  2.089 |   4.12 |  0.607 |  0.228 | 0.105 |    ... |    ... | M1.5V |  6.69 |  5.85 |   8.4 |  ... |  ... |   ... | -1.57 |  9.97 |
|   M2V |  3550 |  3.55 |  -0.48 | 1.57 |               0.0 |               0.0 |  1.500 |    ... |  1.170 |  1.001 |  2.173 |   4.24 |  0.600 |  0.234 | 0.110 |    ... |    ... |   M2V |  6.89 |  6.06 |  8.65 |  ... |  ... |   ... | -1.65 |  10.3 |
| M2.5V |  3500 | 3.544 |  -0.44 | 1.68 |               0.0 |               0.0 |  1.522 |    ... |  1.175 |  1.041 |  2.306 |   4.43 |  0.589 |  0.244 | 0.117 |    ... |    ... | M2.5V |  7.01 |  6.27 |  8.94 |  ... |  ... |   ... | -1.76 |  10.7 |
|   M3V |  3410 | 3.533 |  -0.39 | 1.78 |               0.0 |               0.0 |  1.544 |    ... |  1.181 |  1.079 |  2.420 |   4.60 |  0.579 |  0.252 | 0.122 |    ... |    ... |   M3V |  7.40 |  6.54 |  9.17 |  ... |  ... |   ... | -1.97 | 11.14 |
| M3.5V |  3250 | 3.512 |  -0.28 | 2.07 |               0.0 |               0.0 |  1.602 |    ... |  1.200 |  1.178 |  2.680 |   5.00 |  0.558 |  0.269 | 0.132 |    ... |    ... | M3.5V |  8.02 |  7.19 |  9.92 |  ... |  ... |   ... | -2.27 | 12.19 |
|   M4V |  3200 | 3.505 |  -0.22 |  2.2 |               0.0 |               0.0 |  1.661 |    ... |  1.222 |  1.241 |  2.831 |   5.25 |  0.557 |  0.282 | 0.139 |    ... |    ... |   M4V |  8.39 |  7.55 | 10.21 |  ... |  ... |   ... | -2.59 |  12.8 |
| M4.5V |  3100 | 3.491 |  -0.18 | 2.31 |               0.0 |               0.0 |   1.72 |    ... |   1.23 |  1.345 |  3.073 |   5.64 |  0.564 |  0.301 |   ... |    ... |    ... | M4.5V |  8.79 |  7.93 | 10.52 |  ... |  ... |   ... | -3.05 | 13.57 |
|   M5V |  3050 | 3.484 |  -0.15 | 2.52 |               0.0 |               0.0 |  1.874 |    ... |   1.24 |  1.446 |  3.277 |   5.94 |  0.580 |  0.311 |   ... |    ... |    ... |   M5V |  9.25 |  8.36 | 11.02 | 0.91 | 0.47 |  0.17 | -3.28 |  14.3 |
| M5.5V |  3000 | 3.477 |  -0.12 | 2.79 |               0.0 |               0.0 |   1.91 |    ... |    1.3 |  1.656 |  3.664 |   6.50 |  0.588 |  0.329 |   ... |    ... |    ... | M5.5V |  9.93 |  9.01 | 11.71 | 1.13 | 0.52 |  0.19 |  -3.8 | 15.51 |
|   M6V |  2800 | 3.447 |   -0.1 | 3.02 |               0.0 |               0.0 |   2.00 |    ... |    1.3 |  1.950 |  4.100 |   7.30 |  0.605 |  0.352 |   ... |    ... |    ... |   M6V | 10.28 |  9.32 | 12.26 | 1.45 | 0.60 |  0.21 | -4.36 | 16.62 |
|   M7V |  2650 | 3.423 |  -0.09 | 3.21 |               0.0 |               0.0 |   2.06 |    ... |    ... |  2.180 |  4.520 |   8.05 |  0.613 |  0.386 |   ... |    ... |    ... |   M7V | 10.76 |  9.76 | 12.75 | 1.77 | 0.70 |  0.24 | -5.06 | 17.81 |
| M7.5V |  2600 | 3.415 |  -0.08 | 3.29 |               0.0 |               0.0 |   2.17 |    ... |    ... |  2.160 |  4.560 |   8.45 |  0.650 |  0.422 |   ... |    ... |    ... | M7.5V | 10.68 |  9.97 | 12.97 | 1.85 | 0.74 |  0.25 | -5.46 | 18.42 |
|   M8V |  2500 | 3.398 | -0.077 | 3.34 |               0.0 |               0.0 |   2.20 |    ... |    ... |  2.150 |  4.600 |   8.73 |  0.677 |  0.447 |   ... |    ... |    ... |   M8V | 11.27 | 10.15 | 13.09 | 1.93 | 0.77 |  0.26 | -5.79 | 18.88 |
|   M9V |  2450 | 3.389 | -0.065 | 3.53 |               0.0 |               0.0 |    ... |    ... |    ... |  1.890 |  4.370 |   8.85 |  0.749 |  0.481 |   ... |    ... |    ... |   M9V | 11.64 | 10.41 | 13.53 | 1.99 | 0.82 |  0.27 | -5.73 | 19.26 |
